MODE=formal train=3672 val=400 initial_val_loss=2.195116
epoch=1/9 batch=5/2070 loss=1.373888 lr=0.00020000
epoch=1/9 batch=10/2070 loss=0.670505 lr=0.00019999
epoch=1/9 batch=15/2070 loss=0.216482 lr=0.00019998
epoch=1/9 batch=20/2070 loss=0.348773 lr=0.00019996
epoch=1/9 batch=25/2070 loss=0.241920 lr=0.00019994
epoch=1/9 batch=30/2070 loss=0.230945 lr=0.00019991
epoch=1/9 batch=35/2070 loss=0.187641 lr=0.00019988
epoch=1/9 batch=40/2070 loss=0.210006 lr=0.00019983
validation step=20 val_loss=0.194190 improved=True
epoch=1/9 batch=45/2070 loss=0.155522 lr=0.00019980
epoch=1/9 batch=50/2070 loss=0.229297 lr=0.00019974
epoch=1/9 batch=55/2070 loss=0.240105 lr=0.00019970
epoch=1/9 batch=60/2070 loss=0.296472 lr=0.00019963
epoch=1/9 batch=65/2070 loss=0.197694 lr=0.00019958
epoch=1/9 batch=70/2070 loss=0.227264 lr=0.00019949
epoch=1/9 batch=75/2070 loss=0.196138 lr=0.00019943
epoch=1/9 batch=80/2070 loss=0.170689 lr=0.00019934
validation step=40 val_loss=0.202182 improved=False
epoch=1/9 batch=85/2070 loss=0.209099 lr=0.00019927
epoch=1/9 batch=90/2070 loss=0.207064 lr=0.00019916
epoch=1/9 batch=95/2070 loss=0.170052 lr=0.00019909
epoch=1/9 batch=100/2070 loss=0.185927 lr=0.00019897
epoch=1/9 batch=105/2070 loss=0.128071 lr=0.00019888
epoch=1/9 batch=110/2070 loss=0.139813 lr=0.00019875
epoch=1/9 batch=115/2070 loss=0.248624 lr=0.00019866
epoch=1/9 batch=120/2070 loss=0.160894 lr=0.00019851
validation step=60 val_loss=0.149260 improved=True
epoch=1/9 batch=125/2070 loss=0.136781 lr=0.00019841
epoch=1/9 batch=130/2070 loss=0.194459 lr=0.00019825
epoch=1/9 batch=135/2070 loss=0.182766 lr=0.00019815
epoch=1/9 batch=140/2070 loss=0.096992 lr=0.00019798
epoch=1/9 batch=145/2070 loss=0.167386 lr=0.00019786
