================================================================================
 科室分诊 学习率对照   2026-09-18 08:39:26
 锚点: runs/formal（rank 16, lr 2e-4, 12000 条 × 3 epoch）
 对照: lr 0.0008 0.0016 0.0032
================================================================================

▶ lr_8e4  (lr=0.0008)
MODE=formal rank=16 trainable=393216 train=12000 val=600 initial_val_loss=3.098687
epoch=1/3 batch=20/2250 loss=0.454946 lr=0.00079986
epoch=1/3 batch=40/2250 loss=0.290758 lr=0.00079944
epoch=1/3 batch=60/2250 loss=0.197496 lr=0.00079874
epoch=1/3 batch=80/2250 loss=0.186617 lr=0.00079776
validation step=40 val_loss=0.237826 improved=True
epoch=1/3 batch=100/2250 loss=0.192913 lr=0.00079650
epoch=1/3 batch=120/2250 loss=0.239221 lr=0.00079496
epoch=1/3 batch=140/2250 loss=0.151207 lr=0.00079314
epoch=1/3 batch=160/2250 loss=0.277144 lr=0.00079105
validation step=80 val_loss=0.246528 improved=False
epoch=1/3 batch=180/2250 loss=0.205678 lr=0.00078869
epoch=1/3 batch=200/2250 loss=0.190498 lr=0.00078605
epoch=1/3 batch=220/2250 loss=0.203930 lr=0.00078315
epoch=1/3 batch=240/2250 loss=0.107084 lr=0.00077998
validation step=120 val_loss=0.160893 improved=True
epoch=1/3 batch=260/2250 loss=0.132636 lr=0.00077654
epoch=1/3 batch=280/2250 loss=0.095151 lr=0.00077284
epoch=1/3 batch=300/2250 loss=0.144703 lr=0.00076888
epoch=1/3 batch=320/2250 loss=0.152351 lr=0.00076466
validation step=160 val_loss=0.188106 improved=False
epoch=1/3 batch=340/2250 loss=0.086971 lr=0.00076019
epoch=1/3 batch=360/2250 loss=0.157924 lr=0.00075547
epoch=1/3 batch=380/2250 loss=0.127995 lr=0.00075050
epoch=1/3 batch=400/2250 loss=0.110495 lr=0.00074530
validation step=200 val_loss=0.160807 improved=True
epoch=1/3 batch=420/2250 loss=0.148692 lr=0.00073985
epoch=1/3 batch=440/2250 loss=0.160398 lr=0.00073417
epoch=1/3 batch=460/2250 loss=0.295095 lr=0.00072826
epoch=1/3 batch=480/2250 loss=0.158427 lr=0.00072213
validation step=240 val_loss=0.147692 improved=True
epoch=1/3 batch=500/2250 loss=0.071914 lr=0.00071578
epoch=1/3 batch=520/2250 loss=0.137212 lr=0.00070921
epoch=1/3 batch=540/2250 loss=0.120000 lr=0.00070243
epoch=1/3 batch=560/2250 loss=0.056063 lr=0.00069545
validation step=280 val_loss=0.160983 improved=False
epoch=1/3 batch=580/2250 loss=0.142862 lr=0.00068826
epoch=1/3 batch=600/2250 loss=0.169892 lr=0.00068089
epoch=1/3 batch=620/2250 loss=0.059436 lr=0.00067332
epoch=1/3 batch=640/2250 loss=0.099403 lr=0.00066558
validation step=320 val_loss=0.145608 improved=True
epoch=1/3 batch=660/2250 loss=0.330474 lr=0.00065766
epoch=1/3 batch=680/2250 loss=0.212905 lr=0.00064956
epoch=1/3 batch=700/2250 loss=0.192895 lr=0.00064131
epoch=1/3 batch=720/2250 loss=0.152222 lr=0.00063290
validation step=360 val_loss=0.143718 improved=True
epoch=1/3 batch=740/2250 loss=0.091887 lr=0.00062434
epoch=2/3 batch=760/2250 loss=0.049186 lr=0.00061563
epoch=2/3 batch=780/2250 loss=0.073509 lr=0.00060679
epoch=2/3 batch=800/2250 loss=0.152187 lr=0.00059781
validation step=400 val_loss=0.130587 improved=True
epoch=2/3 batch=820/2250 loss=0.058055 lr=0.00058872
epoch=2/3 batch=840/2250 loss=0.039965 lr=0.00057951
epoch=2/3 batch=860/2250 loss=0.091118 lr=0.00057018
epoch=2/3 batch=880/2250 loss=0.089357 lr=0.00056076
validation step=440 val_loss=0.128194 improved=True
epoch=2/3 batch=900/2250 loss=0.196831 lr=0.00055125
epoch=2/3 batch=920/2250 loss=0.127149 lr=0.00054164
epoch=2/3 batch=940/2250 loss=0.109630 lr=0.00053196
epoch=2/3 batch=960/2250 loss=0.135409 lr=0.00052221
validation step=480 val_loss=0.134680 improved=False
epoch=2/3 batch=980/2250 loss=0.172619 lr=0.00051239
epoch=2/3 batch=1000/2250 loss=0.075308 lr=0.00050251
epoch=2/3 batch=1020/2250 loss=0.067115 lr=0.00049259
epoch=2/3 batch=1040/2250 loss=0.098661 lr=0.00048263
validation step=520 val_loss=0.125381 improved=True
epoch=2/3 batch=1060/2250 loss=0.200743 lr=0.00047263
epoch=2/3 batch=1080/2250 loss=0.136419 lr=0.00046260
epoch=2/3 batch=1100/2250 loss=0.042848 lr=0.00045256
epoch=2/3 batch=1120/2250 loss=0.150281 lr=0.00044251
validation step=560 val_loss=0.119874 improved=True
epoch=2/3 batch=1140/2250 loss=0.208446 lr=0.00043246
epoch=2/3 batch=1160/2250 loss=0.053359 lr=0.00042241
epoch=2/3 batch=1180/2250 loss=0.131316 lr=0.00041238
epoch=2/3 batch=1200/2250 loss=0.148482 lr=0.00040237
validation step=600 val_loss=0.129003 improved=False
epoch=2/3 batch=1220/2250 loss=0.094986 lr=0.00039239
epoch=2/3 batch=1240/2250 loss=0.096120 lr=0.00038244
epoch=2/3 batch=1260/2250 loss=0.038779 lr=0.00037254
epoch=2/3 batch=1280/2250 loss=0.127999 lr=0.00036270
validation step=640 val_loss=0.117946 improved=True
epoch=2/3 batch=1300/2250 loss=0.217452 lr=0.00035291
epoch=2/3 batch=1320/2250 loss=0.130606 lr=0.00034319
epoch=2/3 batch=1340/2250 loss=0.156856 lr=0.00033355
epoch=2/3 batch=1360/2250 loss=0.109017 lr=0.00032398
validation step=680 val_loss=0.120754 improved=False
epoch=2/3 batch=1380/2250 loss=0.148325 lr=0.00031451
epoch=2/3 batch=1400/2250 loss=0.066922 lr=0.00030514
epoch=2/3 batch=1420/2250 loss=0.039308 lr=0.00029587
epoch=2/3 batch=1440/2250 loss=0.059497 lr=0.00028672
validation step=720 val_loss=0.122195 improved=False
epoch=2/3 batch=1460/2250 loss=0.087359 lr=0.00027768
